CustomerID,Recency,Frequency,Monetary
10001,183,3,1737.42
10002,426,2,2858.8799999999997
10003,117,3,1530.67
10005,87,2,2035.02
10006,71,2,602.75
10007,325,3,1099.9
10009,10,2,990.67
10011,35,4,2187.0499999999997
10012,5,4,3142.1899999999996
10013,77,1,1571.22
10014,4,3,1477.05
10015,539,1,594.18
10016,353,3,723.72
10019,15,3,3328.84
10020,53,2,734.6400000000001
10021,220,2,1437.6200000000001
10022,681,1,278.34
10024,304,5,5000.51
10027,226,5,4831.84
10028,164,1,272.29
10029,44,3,3153.2799999999997
10030,457,2,2492.12
10031,382,3,2875.63
10032,641,1,125.8
10033,8,3,1090.34
10035,258,1,90.96
10036,6,4,1377.4299999999998
10037,240,3,5033.91
10038,60,4,2597.73
10039,132,2,2232.29
10044,18,1,1588.44
10045,66,2,1003.94
10046,15,4,24893.79
10047,667,1,1790.32
10048,231,2,940.8
10049,206,2,1798.53
10050,466,1,1668.36
10051,327,2,150.95
10052,50,5,3069.61
10053,452,1,291.68
10054,378,2,698.75
10055,279,1,977.45
10056,183,3,2376.2000000000003
10057,59,2,1042.1000000000001
10058,45,2,1374.2
10059,88,5,6752.400000000001
10060,565,2,2818.16
10061,482,1,2647.89
10062,224,3,1345.03
10063,305,1,480.56
10064,326,1,63.9
10065,672,1,372.68
10066,138,1,2116.96
10067,407,2,131.4
10068,417,1,660.4
10071,129,1,2081.73
10072,125,6,4218.77
10073,245,2,1113.04
10074,122,5,4850.54
10075,139,4,3042.52
10076,381,1,451.74
10080,39,2,3621.0699999999997
10081,0,1,531.0
10083,551,2,2130.35
10084,697,1,283.46
10085,607,1,686.8
10086,112,5,4412.4
10087,9,3,2127.4700000000003
10088,28,5,1874.0700000000002
10089,184,2,2430.71
10090,341,1,66.06
10091,260,3,2471.42
10092,43,1,415.84
10093,205,1,1864.48
10097,343,2,2433.5699999999997
10098,93,2,1321.1799999999998
10099,180,1,43.81
10100,152,2,2444.4900000000002
10101,136,3,11889.550000000001
10102,588,1,830.07
10103,77,5,4877.42
10104,90,1,252.31
10105,382,1,671.85
10106,370,2,2148.58
10107,54,3,1683.0300000000002
10108,125,5,5883.48
10109,63,3,4638.54
10110,549,3,2834.36
10111,118,2,967.48
10112,72,4,1486.5100000000002
10113,280,1,786.84
10115,111,1,265.35
10116,33,6,4092.85
10117,275,2,1183.3600000000001
10119,302,4,3718.0600000000004
10120,416,2,1583.34
10121,215,1,451.65
10122,337,2,395.44
10123,40,2,605.14
10124,265,3,1219.0500000000002
10125,39,4,865.3499999999999
10127,369,3,2889.4900000000002
10128,493,2,626.62
10129,355,3,2316.29
10130,36,5,2481.62
10131,111,1,245.94
10132,102,3,3671.1400000000003
10133,150,6,5703.4
10134,158,3,2289.69
10135,510,2,2885.77
10136,41,1,1001.43
10137,129,3,1708.5
10138,32,1,264.6
10139,417,1,477.5
10140,180,2,1193.6
10141,150,2,299.69
10142,228,2,2246.96
10143,320,4,1254.85
10145,204,2,2026.6100000000001
10146,30,5,4853.4
10147,136,2,1043.74
10148,540,2,1315.7
10150,36,1,234.04
10151,107,4,3828.26
10152,474,2,1411.74
10153,293,3,735.5899999999999
10154,34,6,5032.25
10155,260,5,3712.7599999999998
10156,280,1,894.92
10157,467,1,501.76
10159,7,4,4469.09
10160,40,4,2298.6600000000003
10161,164,3,1604.0199999999998
10162,10,3,1630.96
10163,352,4,2906.83
10164,135,5,3038.2
10165,93,2,428.24
10166,518,1,702.78
10167,50,1,671.04
10168,506,1,554.1
10169,96,2,437.01
10170,171,1,10.35
10171,466,4,2424.7799999999997
10172,47,2,1227.7800000000002
10173,181,3,350.11
10174,1,3,3994.12
10175,667,1,597.0
10176,138,3,3179.5
10180,229,1,526.78
10181,300,1,2340.64
10182,37,2,654.87
10183,562,2,685.42
10184,2,1,1419.6
10185,338,2,333.49
